test,test_name,scale,domain,subdomain,narrow,pass,verbal,timed,score_type,test_type,description
cefi_sr,CEFI Self-Report,CEFI-SR Emotion Regulation,ADHD,Executive Function,Emotion Regulation,NA,NA,NA,standard_score,rating_scale,"i.e., control and manage emotions, including staying calm when handling small problems and reacting with the right level of emotion"
cefi_sr,CEFI Self-Report,CEFI-SR Flexibility,ADHD,Executive Function,Flexibility,NA,NA,NA,standard_score,rating_scale,"i.e., adjust behavior to meet circumstances, including coming up with different ways to solve problems, changing behavior when needed, and being able to come up with new ways to reach a goal"
cefi_sr,CEFI Self-Report,CEFI-SR Full Scale,ADHD,Executive Function,Overall Executive Function,NA,NA,NA,standard_score,rating_scale,overall level of executive functioning
cefi_sr,CEFI Self-Report,CEFI-SR Inhibitory Control,ADHD,Executive Function,Inhibitory Control,NA,NA,NA,standard_score,rating_scale,"i.e., control behavior or impulses, including thinking about consequences before acting, maintaining self-control, and thinking before speaking"
cefi_sr,CEFI Self-Report,CEFI-SR Initiation,ADHD,Executive Function,Initiation,NA,NA,NA,standard_score,rating_scale,"i.e., begin tasks or projects on own, including starting tasks easily, being motivated, and taking the initiative when needed"
cefi_sr,CEFI Self-Report,CEFI-SR Organization,ADHD,Executive Function,Organization,NA,NA,NA,standard_score,rating_scale,"i.e., manage personal effects, work, or multiple tasks, including organizing tasks and thoughts well, managing time effectively, and working neatly"
cefi_sr,CEFI Self-Report,CEFI-SR Planning,ADHD,Executive Function,Planning,NA,NA,NA,standard_score,rating_scale,"i.e., develop and implement strategies to accomplish tasks, including planning ahead and making good decisions"
cefi_sr,CEFI Self-Report,CEFI-SR Self-Monitoring,ADHD,Executive Function,Self-Monitoring,NA,NA,NA,standard_score,rating_scale,"i.e., evaluate own behavior in order to determine when a different approach is necessary, including noticing and fixing mistakes, knowing when help is required, and understanding when a task is completed"
cefi_sr,CEFI Self-Report,CEFI-SR Working Memory,ADHD,Executive Function,Working Memory,NA,NA,NA,standard_score,rating_scale,"i.e., keep information in mind that is important for knowing what to do and how to do it, including remembering important things, instructions, and steps"
cefi_sr,CEFI Self,EmotionRegulation,ADHD,Executive Function,Emotion Regulation,NA,NA,NA,standard_score,rating_scale,"i.e., control and manage emotions, including staying calm when handling small problems and reacting with the right level of emotion"
cefi_sr,CEFI Self,Flexibility,ADHD,Executive Function,Flexibility,NA,NA,NA,standard_score,rating_scale,"i.e., adjust behavior to meet circumstances, including coming up with different ways to solve problems, changing behavior when needed, and being able to come up with new ways to reach a goal"
cefi_sr,CEFI Self,FullScale,ADHD,Executive Function,Overall Executive Function,NA,NA,NA,standard_score,rating_scale,overall level of executive functioning
cefi_sr,CEFI Self,InhibitoryControl,ADHD,Executive Function,Inhibitory Control,NA,NA,NA,standard_score,rating_scale,"i.e., control behavior or impulses, including thinking about consequences before acting, maintaining self-control, and thinking before speaking"
cefi_sr,CEFI Self,Initiation,ADHD,Executive Function,Initiation,NA,NA,NA,standard_score,rating_scale,"i.e., begin tasks or projects on own, including starting tasks easily, being motivated, and taking the initiative when needed"
cefi_sr,CEFI Self,Organization,ADHD,Executive Function,Organization,NA,NA,NA,standard_score,rating_scale,"i.e., manage personal effects, work, or multiple tasks, including organizing tasks and thoughts well, managing time effectively, and working neatly"
cefi_sr,CEFI Self,Planning,ADHD,Executive Function,Planning,NA,NA,NA,standard_score,rating_scale,"i.e., develop and implement strategies to accomplish tasks, including planning ahead and making good decisions"
cefi_sr,CEFI Self,Self-Monitoring,ADHD,Executive Function,Self-Monitoring,NA,NA,NA,standard_score,rating_scale,"i.e., evaluate own behavior in order to determine when a different approach is necessary, including noticing and fixing mistakes, knowing when help is required, and understanding when a task is completed"
cefi_sr,CEFI Self,WorkingMemory,ADHD,Executive Function,Working Memory,NA,NA,NA,standard_score,rating_scale,"i.e., keep information in mind that is important for knowing what to do and how to do it, including remembering important things, instructions, and steps"
conners4_self,Conners 4 Self,ADHD Hyperactive/Impulsive Symptoms,ADHD,DSM Symptom Scales,Hyperactivity,NA,NA,NA,t_score,rating_scale,"i.e., hyperactive/impulsive symptoms"
conners4_self,Conners 4 Self,ADHD Inattentive Symptoms,ADHD,DSM Symptom Scales,Inattention,NA,NA,NA,t_score,rating_scale,"i.e., behave in a manner consistent with the DSM-5 Inattentive Presentation of ADHD"
conners4_self,Conners 4 Self,ADHD Index,ADHD,Conners 4 ADHD Index,ADHD Risk Index,NA,NA,NA,t_score,rating_scale,NA
conners4_self,Conners 4 Self,Anxious Thoughts,ADHD,Content Scales,Emotion/Mood,NA,NA,NA,t_score,rating_scale,NA
conners4_self,Conners 4 Self,Conduct Disorder Symptoms,ADHD,DSM Symptom Scales,Conduct,NA,NA,NA,t_score,rating_scale,NA
conners4_self,Conners 4 Self,Depressed Mood,ADHD,Content Scales,Emotion/Mood,NA,NA,NA,t_score,rating_scale,NA
conners4_self,Conners 4 Self,Emotional Dysregulation,ADHD,Content Scales,Emotion/Mood,NA,NA,NA,t_score,rating_scale,"i.e., has a hard time calming down, has trouble hiding their emotions"
conners4_self,Conners 4 Self,Family Life,ADHD,Impairment/Functional Outcomes,Family,NA,NA,NA,t_score,rating_scale,NA
conners4_self,Conners 4 Self,Hyperactivity,ADHD,Content Scales,Hyperactivity,NA,NA,NA,t_score,rating_scale,"i.e., problems with working at the same task for long periods of time, feeling more restless than others seem to be, fidgeting"
conners4_self,Conners 4 Self,Impulsivity,ADHD,Content Scales,Impulsivity,NA,NA,NA,t_score,rating_scale,"i.e., engaging in more impulsive acts than others do, low frustration tolerance, quick and frequent mood changes, feeling easily angered and irritated by people"
conners4_self,Conners 4 Self,Inattention/Executive Dysfunction,ADHD,Content Scales,Attention/Executive,NA,NA,NA,t_score,rating_scale,"i.e., trouble concentrating, difficulty planning or completing tasks, forgetfulness, absent-mindedness, being disorganized"
conners4_self,Conners 4 Self,Oppositional Defiant Disorder Symptoms,ADHD,DSM Symptom Scales,Oppositional,NA,NA,NA,t_score,rating_scale,NA
conners4_self,Conners 4 Self,Peer Interactions,ADHD,Impairment/Functional Outcomes,Social,NA,NA,NA,t_score,rating_scale,NA
conners4_self,Conners 4 Self,Schoolwork,ADHD,Impairment/Functional Outcomes,School,NA,NA,NA,t_score,rating_scale,NA
conners4_self,Conners 4 Self,Total ADHD Symptoms,ADHD,DSM Symptom Scales,Combined Symptoms,NA,NA,NA,t_score,rating_scale,NA
cvlt3_brief,CVLT-3 Brief,CVLT-3 Forced-Choice Recognition Hits,Performance Validity,Cognitive Effort,Forced-Choice Recognition Memory,NA,Verbal,Untimed,raw_score,validity_indicator,Number of hits on forced-choice recognition trials (raw score)
cvlt3_brief,CVLT-3 Brief,CVLT-3 Total Intrusions,Attention/Executive,Attentional Functioning,Response Monitoring,Attention,Verbal,Untimed,scaled_score,npsych_test,Total number of intrusive response errors
cvlt3_brief,CVLT-3 Brief,CVLT-3 Total Repetitions,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Untimed,scaled_score,npsych_test,Total number of repetitive response errors
cvlt3_brief,CVLT-3 Brief,Long Delay Cued Recall,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,scaled_score,npsych_test,Recall of the list after a long (20-minute) delay with cues
cvlt3_brief,CVLT-3 Brief,Long Delay Free Recall,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,scaled_score,npsych_test,Recall of the list after a long (20-minute) delay
cvlt3_brief,CVLT-3 Brief,Recognition Discriminability (d'),Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,scaled_score,npsych_test,Yes/no recognition discriminability
cvlt3_brief,CVLT-3 Brief,Recognition Discriminability Nonparametric,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,scaled_score,npsych_test,Yes/no recognition discriminability (nonparametric)
cvlt3_brief,CVLT-3 Brief,Short Delay Free Recall,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,scaled_score,npsych_test,Recall of the list after a short delay
cvlt3_brief,CVLT-3 Brief,Total False Positives,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,scaled_score,npsych_test,Yes/no recognition total false positives
cvlt3_brief,CVLT-3 Brief,Total Hits,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,scaled_score,npsych_test,Yes/no recognition total hits
cvlt3_brief,CVLT-3 Brief,Trial 1 Correct,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,scaled_score,npsych_test,Correct number of words learned on the first trial
cvlt3_brief,CVLT-3 Brief,Trial 2 Correct,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,scaled_score,npsych_test,Correct number of words learned on the second trial
cvlt3_brief,CVLT-3 Brief,Trial 3 Correct,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,scaled_score,npsych_test,Correct number of words learned on the third trial
cvlt3_brief,CVLT-3 Brief,Trial 4 Correct,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,scaled_score,npsych_test,Correct number of words learned on the fourth trial
cvlt3_brief,CVLT-3 Brief,Trials 1-4 Correct,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,standard_score,npsych_test,Learning and recall of rote verbal information (word list)
dct,Dot Counting,DCT E-Score,Performance Validity,Cognitive Effort,Reaction Time,NA,NA,NA,raw_score,validity_indicator,DCT effort testing
dkefs,D-KEFS Color-Word Interference,Color Naming,Verbal/Language,Retrieval,Naming Facility,Sequential,Verbal,Timed,scaled_score,npsych_test,Rapid color naming
dkefs,D-KEFS Color-Word Interference,Color Naming Total Errors,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,NA,percentile,npsych_test,Color naming errors
dkefs,D-KEFS Color-Word Interference,Inhibition,Attention/Executive,Executive Functioning,Inhibition,Attention,Verbal,Timed,scaled_score,npsych_test,Inhibition/cognitive control
dkefs,D-KEFS Color-Word Interference,Inhibition Total Errors,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Timed,scaled_score,npsych_test,Inhibition errors
dkefs,D-KEFS Color-Word Interference,Inhibition/Switching,Attention/Executive,Executive Functioning,Set-Shifting,Attention,Verbal,Timed,scaled_score,npsych_test,Set-shifting/cognitive flexibility
dkefs,D-KEFS Color-Word Interference,Inhibition/Switching Total Errors,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Timed,scaled_score,npsych_test,Switching errors
dkefs,D-KEFS Color-Word Interference,Word Reading,Verbal/Language,Retrieval,Naming Facility,Sequential,Verbal,Timed,scaled_score,npsych_test,Rapid word reading
dkefs,D-KEFS Color-Word Interference,Word Reading Total Errors,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,NA,percentile,npsych_test,Word reading errors
examiner,NIH EXAMINER,Category Fluency,Verbal/Language,Fluency,Semantic Fluency,Sequential,Verbal,Timed,t_score,npsych_test,The patient's ability to generate words within specific semantically-related categories
examiner,NIH EXAMINER,Letter Fluency,Verbal/Language,Fluency,Phonemic Fluency,Sequential,Verbal,Timed,t_score,npsych_test,The patient's ability to generate words that fit a specific phonemic category within a time limit
ktea3,KTEA-3,Academic Fluency Composite,Academic Skills,Academic Fluency,Rate of Test-Taking,Sequential,NA,Timed,standard_score,npsych_test,"Overall academic fluency in reading, math, and writing"
ktea3,KTEA-3,Academic Skills Battery (ASB) Composite,Academic Skills,Academic Achievement,General Academic Achievement,NA,NA,Untimed,standard_score,npsych_test,"Overall academic achievement in the areas of reading, math, and writing"
ktea3,KTEA-3,Associational Fluency,Verbal/Language,Expressive Language,Ideational Fluency,Sequential,NA,Untimed,standard_score,npsych_test,Semantic word fluency
ktea3,KTEA-3,Comprehension Composite,Verbal/Language,Receptive Language,Comprehension-Knowledge,Sequential,NA,Untimed,standard_score,npsych_test,Estimate of general language comprehension skills
ktea3,KTEA-3,Decoding Composite,Academic Skills,Reading,Reading Decoding,Sequential,NA,Untimed,standard_score,npsych_test,Composite estimate of decontextualized phonic decoding and word reading skills
ktea3,KTEA-3,Decoding Fluency,Academic Skills,Reading,Reading Speed,Sequential,NA,Timed,standard_score,npsych_test,Phonic decoding fluency
ktea3,KTEA-3,Expression Composite,Verbal/Language,Expressive Language,Comprehension-Knowledge,Sequential,NA,Untimed,standard_score,npsych_test,Estimate of oral language expression skills
ktea3,KTEA-3,Letter & Word Recognition,Academic Skills,Reading,Reading Decoding,Sequential,Verbal,Untimed,standard_score,npsych_test,Single word reading/decoding of a list of regular and irregular words
ktea3,KTEA-3,Letter Naming Facility,Academic Skills,Reading,Naming Facility,Sequential,NA,Timed,standard_score,npsych_test,Rapid automatic naming (letters)
ktea3,KTEA-3,Listening Comprehension,Verbal/Language,Receptive Language,Listening Ability,Sequential,NA,Untimed,standard_score,npsych_test,"Receptive language comprehension at the level of the word, sentence, and passage"
ktea3,KTEA-3,Math Composite,Academic Skills,Math,Quantitative Reasoning,Simultaneous,NA,Untimed,standard_score,npsych_test,Estimate of overall mathematics skills in the domains of math comprehension and problem solving and math computation
ktea3,KTEA-3,Math Computation,Academic Skills,Math,Mathematical Achievement,Simultaneous,Nonverbal,Untimed,standard_score,npsych_test,"Paper and pencil math calculation skills, ranging from basic operations with integers to geometry, algebra, and calculus problems"
ktea3,KTEA-3,Math Concepts & Applications,Academic Skills,Math,Mathematical Knowledge,Simultaneous,NA,Untimed,standard_score,npsych_test,"Applying mathematical principles to real-life situations, ranging from basic concepts, everyday applications, geometry, and algebra"
ktea3,KTEA-3,Math Fluency,Academic Skills,Math,Number Facility,Simultaneous,Nonverbal,Timed,standard_score,npsych_test,"Overall speed/fluency in solving fact-based addition, subtraction, and multiplication problems"
ktea3,KTEA-3,Nonsense Word Decoding,Academic Skills,Reading,Reading Decoding,Sequential,NA,Untimed,standard_score,npsych_test,Phonic decoding skills by reading aloud a list of pseudowords
ktea3,KTEA-3,Object Naming Facility,Academic Skills,Reading,Naming Facility,Sequential,NA,Timed,standard_score,npsych_test,Rapid automatic naming (objects)
ktea3,KTEA-3,Oral Expression,Verbal/Language,Expressive Language,Communication Ability,Sequential,NA,Timed,standard_score,npsych_test,Oral expression at the level of the word and sentence
ktea3,KTEA-3,Oral Fluency Composite,Verbal/Language,Expressive Language,Communication Ability,Sequential,NA,Untimed,standard_score,npsych_test,General expressive language fluency
ktea3,KTEA-3,Oral Language Composite,Verbal/Language,Language,Comprehension-Knowledge,Sequential,NA,Untimed,standard_score,npsych_test,"Overall estimate of receptive and expressive language skills at the level of the word, sentence, passage, and discourse"
ktea3,KTEA-3,Orthographic Processing Composite,Academic Skills,Reading,Reading and Writing,Sequential,NA,Untimed,standard_score,npsych_test,"Overall measure of orthographic processing, including the size of the examinees orthographic lexicon and the quality of orthographic representations"
ktea3,KTEA-3,Phonological Processing,Academic Skills,Reading,Phonetic Coding,Simultaneous,NA,Untimed,standard_score,npsych_test,Auditory processing of phonemic proficiency and phonic decoding skills
ktea3,KTEA-3,Reading Composite,Academic Skills,Reading,Reading Ability,Sequential,Verbal,Untimed,standard_score,npsych_test,Composite score of decoding and comprehension that balances word-level and text-level reading skills
ktea3,KTEA-3,Reading Comprehension,Academic Skills,Reading,Reading Comprehension,Sequential,Verbal,Untimed,standard_score,npsych_test,"Reading comprehension skills at the level of word, sentence, and passage"
ktea3,KTEA-3,Reading Fluency Composite,Academic Skills,Reading,Reading Speed,Sequential,NA,Timed,standard_score,npsych_test,General reading speed/fluncy
ktea3,KTEA-3,Reading Understanding Composite,Academic Skills,Reading,Reading Comprehension,Sequential,NA,Untimed,standard_score,npsych_test,"Reading comprehension skills at the level of word, sentence, and passage"
ktea3,KTEA-3,Reading Vocabulary,Academic Skills,Reading,Reading Comprehension,Sequential,NA,Untimed,standard_score,npsych_test,Vocabulary reading comprehension
ktea3,KTEA-3,Silent Reading Fluency,Academic Skills,Reading,Reading Speed,Sequential,NA,Timed,standard_score,npsych_test,Non oral reading fluency
ktea3,KTEA-3,Sound-Symbol Composite,Academic Skills,Reading,Phonological Processing,Sequential,NA,Untimed,standard_score,npsych_test,Composite measure of reading and spelling skills??
ktea3,KTEA-3,Spelling,Academic Skills,Writing,Spelling Ability,Sequential,Verbal,Untimed,standard_score,npsych_test,Written spelling of words from dictations
ktea3,KTEA-3,Word Recognition Fluency,Academic Skills,Reading,Reading Speed,Sequential,NA,Timed,standard_score,npsych_test,"Orthographic lexicon, or sight vocabulary fluency"
ktea3,KTEA-3,Writing Fluency,Academic Skills,Writing,Writing Speed,Sequential,NA,Timed,standard_score,npsych_test,Sentence level writing fluency
ktea3,KTEA-3,Written Expression,Academic Skills,Writing,Writing Ability,Sequential,Verbal,Untimed,standard_score,npsych_test,Overall written expression skills including spelling and expository/contextual writing
ktea3,KTEA-3,Written Language Composite,Academic Skills,Writing,Written Language Ability,Sequential,Verbal,Untimed,standard_score,npsych_test,Composite index of written expression skills including spelling and expository/contextual writing
ktea3,KTEA-3,Written Language Composite,Academic Skills,Writing,Written Language Ability,Sequential,Verbal,Untimed,standard_score,npsych_test,Overall written expression skills including spelling and expository/contextual writing
nabs,NAB,Auditory Comprehension,Verbal/Language,Listening Ability,Auditory Comprehension,Sequential,Verbal,Untimed,t_score,npsych_test,"Auditory comprehension (i.e., the ability to receive, process, and execute oral instructions of increasing syntactic complexity)"
nabs,NAB-S,Auditory Comprehension,Verbal/Language,Listening Ability,Auditory Comprehension,Sequential,Verbal,Untimed,t_score,npsych_test,"Auditory comprehension (i.e., the ability to receive, process, and execute oral instructions of increasing syntactic complexity)"
nabs,NAB,Design Construction,Visual Perception/Construction,Construction,Construction,Simultaneous,Nonverbal,Timed,t_score,npsych_test,Constructing and recreating abstract visual designs (tangrams) from a model using flat polygons (tans) to reproduce each stimulus
nabs,NAB-S,Design Construction,Visual Perception/Construction,Construction,Figure Construction,Simultaneous,Nonverbal,Timed,t_score,npsych_test,Constructing and recreating abstract visual designs (tangrams) from a model using flat polygons (tans) to reproduce each stimulus
nabs,NAB,Digits Backward,Attention/Executive,Working Memory,Working Memory Capacity,Attention,Verbal,Untimed,t_score,npsych_test,A measure of both attentional capacity and working memory
nabs,NAB-S,Digits Backward,Attention/Executive,Working Memory,Working Memory Capacity,Attention,Verbal,Untimed,t_score,npsych_test,A measure of both attentional capacity and working memory
nabs,NAB,Digits Backward Longest Span,Attention/Executive,Working Memory,Working Memory Capacity,Attention,Verbal,Untimed,raw_score,npsych_test,Working memory for orally presented information
nabs,NAB-S,Digits Backward Longest Span,Attention/Executive,Working Memory,Working Memory Capacity,Attention,Verbal,Untimed,raw_score,npsych_test,Working memory for orally presented information
nabs,NAB,Digits Forward,Attention/Executive,Attention,Attention Span,Sequential,Verbal,Untimed,t_score,npsych_test,"Auditory attentional capacity, or how much information can be processed at once"
nabs,NAB-S,Digits Forward,Attention/Executive,Attention,Attention Span,Sequential,Verbal,Untimed,t_score,npsych_test,"Auditory attentional capacity, or how much information can be processed at once"
nabs,NAB,Digits Forward Longest Span,Attention/Executive,Attention,Attention Span,Sequential,Verbal,Untimed,raw_score,npsych_test,Auditory attentional capacity
nabs,NAB-S,Digits Forward Longest Span,Attention/Executive,Attention,Attention Span,Sequential,Verbal,Untimed,raw_score,npsych_test,Auditory attentional capacity
nabs,NAB,Mazes,Attention/Executive,Executive Functioning,Planning,Planning,Nonverbal,Timed,t_score,npsych_test,"Planning and foresight, inhibition, and psychomotor speed examined through a series of maze-tracing tasks"
nabs,NAB-S,Mazes,Attention/Executive,Executive Functioning,Planning,Planning,Nonverbal,Timed,t_score,npsych_test,"Planning and foresight, inhibition, and psychomotor speed examined through a series of maze-tracing tasks"
nabs,NAB,NAB Attention Index,Attention/Executive,Attention,Attention Index,Attention,NA,NA,standard_score,npsych_test,An overall screening measure of the examinee's attentional functioning
nabs,NAB-S,NAB Attention Index,Attention/Executive,Attention,Attention Index,Attention,NA,NA,standard_score,npsych_test,An overall screening measure of the examinee's attentional functioning
nabs,NAB,NAB Executive Functions Index,Attention/Executive,Executive Functioning,Executive Function Index,Planning,NA,Timed,standard_score,npsych_test,"A composite measure of executive skills involving planning, inhibition, speed/fluency, and generativity"
nabs,NAB-S,NAB Executive Functions Index,Attention/Executive,Executive Functioning,Executive Function Index,Planning,NA,Timed,standard_score,npsych_test,"A composite measure of executive skills involving planning, inhibition, speed/fluency, and generativity"
nabs,NAB,NAB Language Index,Verbal/Language,Receptive/Expressive,Language Index,NA,Verbal,Untimed,standard_score,npsych_test,A composite screening measure of language comprehension and word-finding abilities
nabs,NAB-S,NAB Language Index,Verbal/Language,Receptive/Expressive,Language Index,NA,Verbal,Untimed,standard_score,npsych_test,A composite screening measure of language comprehension and word-finding abilities
nabs,NAB,NAB Memory Index,Memory,Learning and Memory,Memory Index,NA,NA,NA,standard_score,npsych_test,A composite measure of the examinee's verbal and visual memory functioning
nabs,NAB-S,NAB Memory Index,Memory,Learning and Memory,Memory Index,NA,NA,NA,standard_score,npsych_test,A composite measure of the examinee's verbal and visual memory functioning
nabs,NAB,NAB Spatial Index,Visual Perception/Construction,Spatial,Spatial Index,Simultaneous,Nonverbal,NA,standard_score,npsych_test,"A composite screening measure of visuoperceptual skills, attention to detail, and visuoconstructional skills"
nabs,NAB-S,NAB Spatial Index,Visual Perception/Construction,Spatial,Spatial Index,Simultaneous,Nonverbal,NA,standard_score,npsych_test,"A composite screening measure of visuoperceptual skills, attention to detail, and visuoconstructional skills"
nabs,NAB,NAB Total Index,General Cognitive Ability,Neurocognitive Index,Neuropsychological Functioning,NA,NA,NA,standard_score,npsych_test,"A comprehensive measure of neuropsychological functioning (independent of general intelligence) in the domains of attentional and executive functioning, language, spatial processing, and memory"
nabs,NAB-S,NAB Total Index,General Cognitive Ability,Neurocognitive Index,Neuropsychological Functioning,NA,NA,NA,standard_score,npsych_test,"A comprehensive measure of neuropsychological functioning (independent of general intelligence) in the domains of attentional and executive functioning, language, spatial processing, and memory"
nabs,NAB,Naming,Verbal/Language,Word Retrieval,Naming,Knowledge,Verbal,Untimed,t_score,npsych_test,Screening of word-finding ability and retrieval fluency on a confrontation naming task
nabs,NAB-S,Naming,Verbal/Language,Word Retrieval,Naming,Knowledge,Verbal,Untimed,t_score,npsych_test,Screening of word-finding ability and retrieval fluency on a confrontation naming task
nabs,NAB,Numbers & Letters Part A Efficiency,Attention/Executive,Processing Speed,Cognitive Efficiency,Attention,Nonverbal,Timed,t_score,npsych_test,An overall measure of efficiency in performing a selective attention letter cancellation task
nabs,NAB-S,Numbers & Letters Part A Efficiency,Attention/Executive,Processing Speed,Cognitive Efficiency,Attention,Nonverbal,Timed,t_score,npsych_test,An overall measure of efficiency in performing a selective attention letter cancellation task
nabs,NAB,Numbers & Letters Part A Errors,Attention/Executive,Attention,Response Monitoring,Attention,Nonverbal,Timed,t_score,npsych_test,"A marker of reduced focus, or selective attention, distractibility, or reduced concentration, and diminished sustained attention"
nabs,NAB-S,Numbers & Letters Part A Errors,Attention/Executive,Attention,Response Monitoring,Attention,Nonverbal,Timed,t_score,npsych_test,"A marker of reduced focus, or selective attention, distractibility, or reduced concentration, and diminished sustained attention"
nabs,NAB,Numbers & Letters Part A Speed,Attention/Executive,Processing Speed,Psychomotor Speed,Attention,Nonverbal,Timed,t_score,npsych_test,Psychomotor speed
nabs,NAB-S,Numbers & Letters Part A Speed,Attention/Executive,Processing Speed,Psychomotor Speed,Attention,Nonverbal,Timed,t_score,npsych_test,Psychomotor speed
nabs,NAB,Numbers & Letters Part B Efficiency,Attention/Executive,Attention,Attentional Fluency,Attention,Nonverbal,Timed,t_score,npsych_test,"Performance on a complex measure of divided attention, information processing speed, and inhibition"
nabs,NAB-S,Numbers & Letters Part B Efficiency,Attention/Executive,Attention,Attentional Fluency,Attention,Nonverbal,Timed,t_score,npsych_test,"Performance on a complex measure of divided attention, information processing speed, and inhibition"
nabs,NAB,Orientation,Attention/Executive,Attention,Orientation,Attention,Verbal,Untimed,percentile,npsych_test,"Orientation to person, place, time, and situation"
nabs,NAB-S,Orientation,Attention/Executive,Attention,Orientation,Attention,Verbal,Untimed,percentile,npsych_test,"Orientation to person, place, time, and situation"
nabs,NAB,Shape Learning Delayed Recognition,Memory,Delayed Recall,Visual Memory,Simultaneous,Nonverbal,Untimed,t_score,npsych_test,Recognition of the target visual material among nontarget distractors after a delay period
nabs,NAB-S,Shape Learning Delayed Recognition,Memory,Delayed Recall,Visual Memory,Simultaneous,Nonverbal,Untimed,t_score,npsych_test,Recognition of the target visual material among nontarget distractors after a delay period
nabs,NAB,Shape Learning Immediate Recognition,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,t_score,npsych_test,Learning and recognition of visual material (abstract shapes)
nabs,NAB-S,Shape Learning Immediate Recognition,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,t_score,npsych_test,Learning and recognition of visual material (abstract shapes)
nabs,NAB,Shape Learning Percent Retention,Memory,Delayed Recall,Visual Memory,Simultaneous,Nonverbal,Untimed,percentile,npsych_test,"Percentage of visual detail retained over time, scaled to how much was initially learned"
nabs,NAB-S,Shape Learning Percent Retention,Memory,Delayed Recall,Visual Memory,Simultaneous,Nonverbal,Untimed,percentile,npsych_test,"Percentage of visual detail retained over time, scaled to how much was initially learned"
nabs,NAB,Story Learning Delayed Recall,Memory,Delayed Recall,Story Memory,Sequential,Verbal,Untimed,t_score,npsych_test,Delayed recall of the story details over time
nabs,NAB-S,Story Learning Delayed Recall,Memory,Delayed Recall,Story Memory,Sequential,Verbal,Untimed,t_score,npsych_test,Delayed recall of the story details over time
nabs,NAB,Story Learning Immediate Recall,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,t_score,npsych_test,Performance on a more complex one-trial verbal learning and recall task (story learning)
nabs,NAB-S,Story Learning Immediate Recall,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,t_score,npsych_test,Performance on a more complex one-trial verbal learning and recall task (story learning)
nabs,NAB,Story Learning Percent Retention,Memory,Delayed Recall,Story Memory,Sequential,Verbal,Untimed,percentile,npsych_test,"The percentage of story detail retained over time, scaled to how much was initially learned"
nabs,NAB-S,Story Learning Percent Retention,Memory,Delayed Recall,Story Memory,Sequential,Verbal,Untimed,percentile,npsych_test,"The percentage of story detail retained over time, scaled to how much was initially learned"
nabs,NAB,Visual Discrimination,Visual Perception/Construction,Perception,Visual Processing,Simultaneous,Nonverbal,Untimed,t_score,npsych_test,"Perceptual processing, discrimination, and pattern matching of a series of abstract images requiring close attention to visual detail"
nabs,NAB-S,Visual Discrimination,Visual Perception/Construction,Perception,Visual Processing,Simultaneous,Nonverbal,Untimed,t_score,npsych_test,"Perceptual processing, discrimination, and pattern matching of a series of abstract images requiring close attention to visual detail"
nabs,NAB,Word Generation,Attention/Executive,Executive Functioning,Generativity,Sequential,Verbal,Timed,t_score,npsych_test,"Retrieval fluency, ideational fluency, and generativity"
nabs,NAB-S,Word Generation,Attention/Executive,Executive Functioning,Generativity,Sequential,Verbal,Timed,t_score,npsych_test,"Retrieval fluency, ideational fluency, and generativity"
nabs,NAB,Word Generation Perseverations,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Timed,percentile,npsych_test,Self-monitoring and perseverative tendencies
nabs,NAB-S,Word Generation Perseverations,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Timed,percentile,npsych_test,Self-monitoring and perseverative tendencies
nepsy2,NEPSY-2,Affect Recognition,Social Cognition,Emotion,Affect Recognition,Simultaneous,Verbal,Untimed,scaled_score,npsych_test,Ability to recognize affect from photographs of children's faces in four different tasks
nepsy2,NEPSY-2,Affect Recognition Neutral Errors,Social Cognition,Emotion,Affect Recognition,Simultaneous,Verbal,Untimed,scaled_score,npsych_test,Ability to recognize neutral affect
